"host","requests","examples"
"fonts.bunny.net","150","https://fonts.bunny.net/css?family=cardo:400,700|ibm-plex-serif:400,500,600 | https://fonts.bunny.net/cardo/files/cardo-latin-700-normal.woff2 | https://fonts.bunny.net/ibm-plex-serif/files/ibm-plex-serif-latin-500-normal.woff2 | https://fonts.bunny.net/ibm-plex-serif/files/ibm-plex-serif-latin-400-normal.woff2 | https://fonts.bunny.net/ibm-plex-serif/files/ibm-plex-serif-latin-600-normal.woff2"
"cdn.jsdelivr.net","161","https://cdn.jsdelivr.net/ghost/announcement-bar@~1.1/umd/announcement-bar.min.js | https://cdn.jsdelivr.net/ghost/sodo-search@~1.8/umd/sodo-search.min.js | https://cdn.jsdelivr.net/ghost/portal@~2.69/umd/portal.min.js | https://cdn.jsdelivr.net/ghost/comments-ui@~1.5/umd/comments-ui.min.js"
"x.com","0","https://x.com/ghost"
"www.facebook.com","0","https://www.facebook.com/ghost"
"ghost.org","0","https://ghost.org/"
"www.youtube.com","0","https://www.youtube.com/@cockroach0912?ref=between.ghost.io"
